State,Year,Fine Particulate Matter (µg/m≥),Avg Fine Particulate Matter (µg/m≥)
North Carolina,2007.0,29.0,28.97
North Carolina,2007.0,30.0,29.97
North Carolina,2007.0,31.0,30.7
North Carolina,2007.0,32.0,31.97
North Carolina,2007.0,33.0,33.3
North Carolina,2007.0,34.0,33.99
North Carolina,2007.0,38.0,38.1
North Carolina,2007.0,39.0,38.97
North Carolina,2007.0,40.0,39.5
North Carolina,2007.0,,12.84
North Carolina,2008.0,0.0,0.06
North Carolina,2008.0,1.0,0.9
North Carolina,2008.0,2.0,2.2
North Carolina,2008.0,3.0,2.75
North Carolina,2008.0,4.0,4.02
North Carolina,2008.0,5.0,5.05
North Carolina,2008.0,6.0,5.96
North Carolina,2008.0,7.0,6.95
North Carolina,2008.0,8.0,7.85
North Carolina,2008.0,9.0,9.02
North Carolina,2008.0,10.0,9.99
North Carolina,2008.0,11.0,10.96
North Carolina,2008.0,12.0,11.99
North Carolina,2008.0,13.0,12.85
North Carolina,2008.0,14.0,13.94
North Carolina,2008.0,15.0,14.92
North Carolina,2008.0,16.0,15.99
North Carolina,2008.0,17.0,16.94
North Carolina,2008.0,18.0,17.84
North Carolina,2008.0,19.0,18.98
North Carolina,2008.0,20.0,19.87
North Carolina,2008.0,21.0,21.0
North Carolina,2008.0,22.0,21.89
North Carolina,2008.0,23.0,22.92
North Carolina,2008.0,24.0,23.9
North Carolina,2008.0,25.0,25.07
North Carolina,2008.0,26.0,25.82
North Carolina,2008.0,27.0,26.78
North Carolina,2008.0,28.0,27.97
North Carolina,2008.0,30.0,29.85
North Carolina,2008.0,31.0,31.06
North Carolina,2008.0,32.0,31.85
North Carolina,2008.0,,12.63
North Carolina,2009.0,0.0,0.0
North Carolina,2009.0,1.0,1.12
North Carolina,2009.0,2.0,1.99
North Carolina,2009.0,3.0,3.05
North Carolina,2009.0,4.0,4.12
North Carolina,2009.0,5.0,5.01
North Carolina,2009.0,6.0,5.95
North Carolina,2009.0,7.0,6.88
North Carolina,2009.0,8.0,8.03
North Carolina,2009.0,9.0,8.95
North Carolina,2009.0,10.0,9.99
North Carolina,2009.0,11.0,10.97
North Carolina,2009.0,12.0,11.96
North Carolina,2009.0,13.0,12.96
North Carolina,2009.0,14.0,13.95
North Carolina,2009.0,15.0,14.9
North Carolina,2009.0,16.0,15.93
North Carolina,2009.0,17.0,16.94
North Carolina,2009.0,18.0,17.97
North Carolina,2009.0,19.0,18.93
North Carolina,2009.0,20.0,19.91
North Carolina,2009.0,21.0,20.85
North Carolina,2009.0,22.0,21.96
North Carolina,2009.0,23.0,23.02
North Carolina,2009.0,24.0,23.86
North Carolina,2009.0,25.0,24.75
North Carolina,2009.0,26.0,26.35
North Carolina,2009.0,27.0,26.96
North Carolina,2009.0,28.0,27.95
North Carolina,2009.0,29.0,28.73
North Carolina,2009.0,,11.81
North Carolina,2010.0,0.0,0.26
North Carolina,2010.0,1.0,0.6
North Carolina,2010.0,3.0,3.13
North Carolina,2010.0,4.0,4.11
North Carolina,2010.0,5.0,4.94
North Carolina,2010.0,6.0,6.03
